"nodeID_from","nodeID_to"
1,2
3,4
5,6
7,8
9,10
11,12
13,14
2,15
16,17
18,3
19,20
21,19
20,14
22,23
24,22
25,5
26,27
28,29
15,28
29,25
30,26
27,1
31,32
33,34
34,35
36,11
37,38
4,39
40,41
39,42
33,43
12,16
43,40
41,36
42,17
32,44
44,21
6,45
46,47
48,49
49,46
45,50
50,7
51,30
47,51
21,48
52,9
53,54
54,55
55,18
20,52
56,57
57,58
10,56
58,53
59,60
61,62
63,59
64,65
38,64
60,61
8,62
63,37
65,66
66,67
68,69
70,68
71,72
73,74
75,31
76,77
78,77
79,80
81,82
83,84
85,86
87,88
74,31
89,90
91,92
84,93
94,95
96,97
98,99
100,94
95,101
102,103
104,105
106,107
108,109
110,111
111,112
113,114
114,115
116,117
117,98
118,119
119,120
103,121
121,70
122,103
123,124
125,126
127,128
129,130
131,108
132,133
134,135
136,137
138,127
128,139
140,141
142,78
115,143
144,145
146,147
148,149
150,151
152,153
154,155
156,157
158,131
23,159
79,160
161,162
163,164
165,76
155,148
101,96
166,167
168,24
80,169
170,171
107,172
173,123
174,175
133,173
130,176
123,83
139,87
120,137
124,177
92,140
109,118
178,179
180,158
172,181
126,182
169,156
164,165
183,184
88,125
185,186
187,188
181,110
189,190
99,191
147,122
192,193
190,104
194,195
71,144
159,196
197,198
199,75
200,102
201,152
153,202
203,197
204,205
206,170
157,201
182,146
73,75
207,171
136,185
160,200
188,178
175,208
90,174
151,209
179,154
191,210
211,192
212,142
101,85
213,91
72,211
214,81
215,216
216,187
217,215
186,217
141,180
97,213
202,100
145,218
208,194
135,116
177,138
105,203
219,220
212,214
218,129
196,199
210,89
221,113
209,221
143,207
149,222
195,132
176,206
162,204
220,183
198,161
170,223
86,134
205,219
223,171
222,223
193,168
112,166
224,189
167,224
184,163
82,150
