"nodeID_from","nodeID_to"
1,2
3,4
5,6
7,8
2,9
10,11
12,13
14,15
16,17
18,19
20,21
22,23
24,25
26,27
28,29
30,5
31,32
8,33
34,35
36,37
38,39
40,41
42,43
42,44
45,46
47,48
49,50
9,51
52,53
54,55
55,56
4,57
33,3
58,1
59,49
50,60
61,7
62,61
63,64
57,65
60,58
65,59
66,67
68,63
69,70
64,69
51,68
71,66
70,71
72,73
74,75
73,76
77,78
75,72
79,80
81,82
77,83
84,85
86,87
88,89
90,12
91,92
53,93
92,94
93,91
94,86
95,96
96,97
15,98
99,100
101,102
103,104
105,106
107,108
109,110
111,112
113,114
115,116
117,118
119,120
121,122
120,123
25,124
125,34
126,127
128,129
130,131
132,41
133,105
134,62
108,135
136,137
138,134
139,140
106,10
43,141
142,85
21,24
143,144
144,145
29,50
146,147
148,149
149,150
100,151
152,121
31,152
32,153
153,99
154,18
141,36
155,156
157,45
158,22
159,155
160,16
161,162
123,163
137,164
131,165
39,40
166,132
77,109
142,101
165,166
122,167
102,117
168,169
28,115
35,154
170,171
171,38
172,173
174,119
164,125
147,148
175,161
162,176
17,177
129,139
178,127
163,172
19,133
173,126
177,175
118,143
176,179
179,26
6,146
127,170
174,168
114,180
44,75
180,136
140,130
20,160
124,178
78,10
80,84
87,81
48,85
181,111
80,30
182,183
184,185
186,184
183,187
188,189
190,191
192,193
194,195
196,194
197,198
103,107
199,200
201,202
112,186
203,67
67,188
204,205
206,103
207,208
209,210
185,211
212,181
82,213
210,214
215,167
83,190
216,217
218,219
219,197
220,221
222,201
193,223
214,224
198,220
225,226
227,228
229,230
231,232
213,233
189,47
234,235
202,216
226,236
237,238
221,222
236,88
89,239
156,240
241,242
243,244
244,245
246,247
248,249
250,251
245,246
247,252
253,254
255,256
252,257
249,258
167,227
259,182
260,261
261,158
258,262
263,159
224,243
228,248
264,265
128,266
267,268
269,270
271,206
272,267
208,128
135,273
235,264
82,274
275,234
276,277
277,215
223,278
211,204
279,275
278,229
270,280
230,209
281,269
282,283
266,272
284,285
286,271
283,279
280,263
287,231
268,282
288,287
274,237
285,207
200,286
98,284
273,276
205,199
232,281
238,212
289,290
242,289
291,292
256,253
23,241
290,288
254,291
251,192
292,257
262,250
293,255
240,293
294,295
296,297
297,298
299,300
203,301
300,302
303,90
304,191
305,265
218,306
307,308
309,304
76,310
195,95
311,312
239,296
313,217
314,315
295,316
317,313
318,319
320,321
322,320
323,322
324,317
325,326
327,294
265,327
321,328
11,329
330,318
13,309
316,311
331,332
333,79
334,335
319,334
326,323
336,337
335,324
338,259
339,239
328,330
56,340
332,74
315,307
302,305
225,338
308,341
301,54
312,303
341,331
337,325
298,300
98,299
97,14
329,314
306,339
310,333
340,233
342,336
