"nodeID_from","nodeID_to"
1,2
3,4
5,6
7,8
9,10
11,12
13,14
15,16
17,18
19,20
21,22
23,24
25,26
27,28
29,30
31,32
33,34
35,36
37,38
39,40
41,42
43,44
45,46
47,48
49,50
49,51
52,53
54,27
26,55
56,57
58,59
60,61
62,45
63,64
65,66
67,68
65,69
70,65
71,72
73,74
75,76
77,78
79,80
66,79
59,81
82,83
84,85
57,86
87,56
51,55
88,60
89,90
91,92
92,87
93,94
95,96
97,54
98,81
20,99
100,70
101,102
69,66
103,104
105,100
106,107
108,109
87,101
101,110
111,112
52,113
34,64
78,114
61,106
99,115
116,117
118,119
120,121
122,78
121,123
123,98
96,123
97,98
124,95
103,125
96,126
2,127
57,77
106,89
128,105
129,109
72,37
130,47
115,131
132,103
81,97
10,73
109,133
127,134
72,21
46,63
86,29
119,35
99,74
118,135
114,136
134,122
110,137
138,95
113,139
85,31
137,136
55,52
94,62
74,118
111,110
53,120
120,111
140,69
83,67
83,91
136,141
142,128
50,143
64,140
8,93
104,45
133,103
80,144
68,80
79,68
70,82
100,82
121,138
128,140
123,49
48,102
119,144
144,24
91,76
145,24
76,130
115,75
131,47
74,146
147,71
10,147
142,86
127,124
