"nodeID_from","nodeID_to"
1,2
3,4
5,6
7,8
9,10
4,11
12,13
14,15
15,16
17,18
19,20
21,19
22,17
23,22
24,25
18,26
26,27
20,23
25,28
29,21
30,31
32,30
33,32
34,33
35,36
36,34
37,35
38,39
39,40
41,42
43,44
45,43
40,45
44,46
47,48
49,50
38,51
52,14
6,3
16,53
54,47
48,5
50,54
51,49
11,52
53,55
56,57
58,59
60,61
62,63
64,65
66,64
63,66
67,55
59,60
61,68
68,69
69,56
65,58
70,71
72,73
73,74
75,76
74,77
78,67
79,78
80,81
82,83
83,79
84,85
86,87
88,75
89,88
81,89
90,80
91,90
92,93
87,94
57,92
93,91
76,86
95,96
97,95
98,57
99,98
100,99
101,102
103,104
105,106
107,108
109,110
111,109
112,113
108,114
115,116
117,103
116,118
118,101
102,119
119,120
121,122
123,124
125,126
127,128
126,127
129,130
130,131
132,129
133,134
10,135
131,133
134,9
136,24
137,138
128,137
124,139
122,123
120,121
138,132
140,141
142,136
143,144
145,143
144,146
147,148
149,147
13,149
150,12
151,150
152,151
153,154
155,153
156,155
154,152
148,145
157,158
159,160
161,55
160,161
162,163
164,162
165,166
167,168
168,85
169,170
170,27
171,172
173,174
164,175
174,176
177,178
178,179
77,180
181,182
183,184
185,183
186,187
188,189
190,181
182,186
191,164
192,193
194,192
195,196
196,197
198,195
199,200
200,38
201,202
203,201
204,205
206,207
205,208
209,210
211,209
212,211
77,212
202,199
210,204
208,213
213,203
214,215
172,216
217,41
218,219
220,221
221,222
223,224
225,226
226,227
227,228
229,230
231,232
189,233
234,235
236,234
233,218
237,231
158,198
238,239
139,240
241,31
62,71
97,100
141,125
135,142
197,206
228,242
243,29
46,241
240,140
28,243
244,245
216,236
246,188
247,248
249,112
250,251
252,253
254,255
256,257
255,229
258,1
248,214
259,7
166,260
106,261
222,225
223,262
85,263
224,264
265,266
232,267
187,265
235,217
42,268
269,270
270,246
219,271
215,272
273,274
275,273
251,275
276,250
2,276
267,258
253,237
277,278
230,277
279,256
271,244
266,171
278,252
272,94
257,254
268,269
274,247
280,279
262,220
281,245
282,169
283,282
114,284
223,285
179,156
286,177
287,286
176,288
261,117
289,290
291,289
292,173
288,287
110,291
293,294
295,296
94,295
297,194
298,297
299,298
300,301
301,299
280,300
104,107
294,292
280,242
193,191
113,111
238,283
8,302
296,281
207,303
175,293
285,304
305,306
307,308
260,307
263,309
310,311
311,312
27,310
313,239
284,314
304,315
314,313
290,105
306,84
309,157
312,305
315,249
308,316
317,318
318,165
319,320
320,317
321,322
322,319
156,323
302,324
325,326
303,327
327,321
326,187
184,190
328,185
329,330
331,329
94,331
323,72
330,328
180,259
324,325
